model_id;response_id;cs_id;ucs_id;control;reg;up_down_r;is_mem;relax.integrated;relax.emergence;train.integrated;train.emergence;relapse.integrated;relapse.emergence;test.integrated;test.emergence;reset.integrated;reset.emergence
37;6;10;0;11;Regulation.DOWN;Regulation.NEUTRAL;False;0.3155940981900589;7.813235547182718e-05;0.3090137953166134;6.45737603378882e-05;0.30816596548006225;7.315704668350853e-05;0.3131643658901876;7.896335793702858e-05;0.38399973589708364;0.00011782365919293936
37;3;2;9;5;Regulation.UP;Regulation.NEUTRAL;True;0.2919352011869021;-0.00019447040340542232;0.2814924035637199;-0.0002340921458117151;0.28147901521814367;-0.00022299578985268687;0.2834570133132046;-0.00023313080732245695;0.2922459236247825;-0.00020806356223745937
37;3;2;9;5;Regulation.DOWN;Regulation.NEUTRAL;True;0.268867455392243;-2.983183737392814e-05;0.2621388263786857;-4.7619665005771417e-05;0.26230809014739975;-3.751424697431838e-05;0.268361740980276;-3.503272934735069e-05;0.2774366733658605;-8.031710170719464e-06
37;10;5;4;9;Regulation.UP;Regulation.NEUTRAL;True;1.302681066813192;2.3135825349629435e-05;1.3026900558750023;2.3453790233496363e-05;1.3026809304288511;1.856402844080396e-05;1.3026905641303699;1.377285327719413e-05;1.3026809400216623;1.38563555951432e-05
37;10;5;4;9;Regulation.DOWN;Regulation.NEUTRAL;True;0.1302159725337652;-6.372607253474216e-06;0.1307021961257493;-8.213661459560706e-06;0.1339923370676456;-6.949572358833089e-06;0.12998039559490274;-8.368437722922062e-06;0.13073910763204588;-7.855368791637174e-06
37;3;1;10;7;Regulation.UP;Regulation.NEUTRAL;False;0.37827889455517016;1.6961924527991723e-05;0.374701618298355;1.3337202179802832e-05;0.37107722382022235;1.0873206987394024e-05;0.39528953362668795;2.917560786355744e-05;0.3767899656319336;1.407155461949361e-05
37;3;1;10;7;Regulation.DOWN;Regulation.NEUTRAL;True;0.22350375754042015;-0.00012972359098689656;0.22376194856679094;-0.00013682007621977632;0.22594914886224732;-0.0001383634459128924;0.2252698021870692;-0.00011732587847787523;0.2969975873858217;-5.3916389940289466e-05
37;10;5;3;8;Regulation.UP;Regulation.NEUTRAL;True;0.11600525722235679;-1.015653796471172e-05;0.11536748384917334;-1.4986315109488668e-05;0.11477561998301493;-1.2978952190045856e-05;0.11756577489271375;-1.1902431884480702e-05;0.11399935160372007;-1.2831912214683605e-05
37;10;5;3;8;Regulation.DOWN;Regulation.NEUTRAL;True;1.7422787469901917;1.9731859686955566e-05;1.7422781943282095;1.9155498331646648e-05;1.7422782361481088;2.0041853178276448e-05;1.7422779840325724;2.0238348782175564e-05;1.7422781766337154;2.02327878073838e-05
37;3;1;11;6;Regulation.UP;Regulation.NEUTRAL;False;0.15917944198145767;0.00011624573738400201;0.16208984535742102;0.00011779784202414767;0.15753840549152126;0.00012015685960574396;0.17024423487933232;0.0001418200124653976;0.1547121013711936;0.00011489772883610527
37;3;1;11;6;Regulation.DOWN;Regulation.NEUTRAL;True;0.1792246706202406;-4.751144094122806e-06;0.09418231857654052;-0.00020829077518108585;0.09164795411114232;-0.00021893167044739759;0.0962041913079614;-0.00018803349274032488;0.09142298042290178;-0.00020796830700015034
37;3;2;8;2;Regulation.UP;Regulation.NEUTRAL;True;0.42389981898307216;0.0003507269267709612;0.34347278308444795;0.00021129106411077458;0.34581375199743836;0.00020574376644559578;0.34129974034392047;0.0002016119088238122;0.34358404002055465;0.00019859422648166314
37;3;2;8;2;Regulation.DOWN;Regulation.NEUTRAL;True;0.3628156214221653;2.914709176807251e-05;0.3607583602642259;2.639679298216402e-05;0.36522877558092764;2.6200768221643078e-05;0.36276117060366286;2.609077147860961e-05;0.44420383679257147;3.932371367765253e-05
37;3;2;10;2;Regulation.UP;Regulation.NEUTRAL;True;0.4238667509498486;0.0001791718709487078;0.3432817902652368;0.00012052283723157364;0.34468103788089477;0.0001246782553644965;0.3466431877380153;0.00011990721048382724;0.3458248578352927;0.0001324804637844873
37;3;2;10;2;Regulation.DOWN;Regulation.NEUTRAL;True;0.2100686820293059;3.5287065255351635e-06;0.20792749345106337;2.5647326337141507e-06;0.21370779478503527;3.923355458651523e-06;0.21369780298692725;3.6968694622496745e-06;0.26830552922006207;1.7543223551380605e-05
