model_id;response_id;circuit_id;relax.synergy;train.synergy;test.synergy;verify.synergy;relax.causation;train.causation;test.causation;verify.causation;relax.redundancy;train.redundancy;test.redundancy;verify.redundancy;relax.integrated;train.integrated;test.integrated;verify.integrated;relax.emergence;train.emergence;test.emergence;verify.mergence
10;1;5;0.6409830956023984;-0.00016508046456720216;3.3243138086724855e-07;0.641028405260116;0.6408180151395717;0.6409830976050193;-0.00016508046456720216;3.3243029862184414e-07;0.6410284072637619;0.6408180171404521;0.6409830976050193;-0.00016508046456720216;3.3243029862184414e-07;0.6410284072637619;0.6408180171404521;nan;nan;nan;nan;nan
10;1;6;0.0005005319977073319;-6.0946223460645044e-05;1.580182655169793e-05;0.0005016070087622282;0.0004396054305687014;0.00044259409265906546;-5.4957562959923045e-05;1.4734724596010551e-05;0.00044384209371706174;0.00038766623284486323;0.0004570755866932785;-5.637085570231459e-05;1.4990863866026771e-05;0.0004582619865799997;0.00040070378204487556;nan;nan;nan;nan;nan
10;1;7;5.094770654523462e-06;-3.0401863526652306e-08;5.7469061037762614e-09;5.154661398276694e-06;5.066031158684758e-06;4.378343664235285e-06;-3.3084756101420254e-08;4.433364911293758e-09;4.435817919257179e-06;4.346418051803802e-06;4.62080433261125e-06;-3.834995376816863e-08;4.313529949895312e-09;4.683434107477513e-06;4.582391461060986e-06;nan;nan;nan;nan;nan
10;1;8;1.0201701425849308e-06;-4.574417628022687e-08;1.834021101654315e-08;1.034949704270538e-06;9.74425966304704e-07;1.0201701425849308e-06;-4.574417628022687e-08;1.834021101654315e-08;1.034949704270538e-06;9.74425966304704e-07;1.0201701425849308e-06;-4.574417628022687e-08;1.834021101654315e-08;1.034949704270538e-06;9.74425966304704e-07;nan;nan;nan;nan;nan
10;1;9;5.3375442310876764e-05;-1.1686619765249873e-06;7.721296006735212e-08;5.3481654409270885e-05;5.220696038343853e-05;5.1008708672195535e-05;-1.0740853367829928e-06;6.926533567541693e-08;5.109389491531058e-05;4.992485525101564e-05;4.9150817869325625e-05;-1.0493836664071665e-06;6.915378263083749e-08;4.923657607203147e-05;4.8099069930251925e-05;nan;nan;nan;nan;nan
10;1;10;3.4604212774779644;-0.033646392884903786;0.0002302627034691529;3.5216168565842434;3.426775701451435;3.4603559292334993;-0.03363879096359573;0.00022974457993552022;3.521558034663915;3.4267169447855403;3.459936023418975;-0.033642989017236835;0.00022999691027814073;3.521133014657621;3.426292712758028;nan;nan;nan;nan;nan
10;1;11;1.8945847073605941;-1.1366067151051629;2.5417973770690443;2.109611249064221;0.7579796533009141;1.8946725093843066;-1.1366819341903212;2.541932128989;2.1096876128295396;0.7579912395657749;1.8947256141599378;-1.1367939388431454;2.5421250485028333;2.1097128724383496;0.757935010976747;nan;nan;nan;nan;nan
10;1;12;1.9662004159069855;-1.0812742124313472;2.4808727082693802;2.1837542463351687;0.8849264195789779;1.9662776594646578;-1.0813336763726056;2.481010097410949;2.183837455067719;0.8849435508923978;1.9663737623065907;-1.081463716339011;2.4812732790974388;2.1839214052227693;0.8849116554384541;nan;nan;nan;nan;nan
10;1;13;0.01642131526424523;-0.0001836145283281576;1.5022703159228712e-07;0.01653485826663642;0.016239780337432064;0.01608222073868637;-0.00018170153927266064;1.4932303105119615e-07;0.016194977309574532;0.015902794644996998;0.015465988321132051;-0.00017562488895306316;1.3449912789065266e-07;0.015577496234478905;0.015290358965124484;nan;nan;nan;nan;nan
10;1;14;0.13474219206982518;-0.0028197892806348657;0.000652245750729627;0.138604496487312;0.13192102764643399;0.13482665038457714;-0.0028195089455815836;0.0006520737198239257;0.13868140910392684;0.13200233767649272;0.13471407739288183;-0.0028234433135291837;0.0006528503394196;0.1385817429593993;0.13189062826568798;nan;nan;nan;nan;nan
10;1;15;2.5243356632287384e-05;-2.2047623671195282e-08;4.464570130258139e-09;2.5293396643200072e-05;2.52143154107487e-05;2.062606741060069e-05;-2.7442076278028082e-08;3.3409787211086117e-09;2.0692094592378307e-05;2.060302173029216e-05;2.2862588287653196e-05;-4.063409331234169e-08;3.2714342831918763e-09;2.294147046461026e-05;2.2821837932118783e-05;nan;nan;nan;nan;nan
10;1;16;2.9300697244007674;-6.879575811802319e-06;1.7195409540704532e-09;2.9300937511540277;2.9300628448249557;2.9300697244007674;-6.879575811802319e-06;1.7195409540704532e-09;2.9300937511540277;2.9300628448249557;2.9300697244007674;-6.879575811802319e-06;1.7195409540704532e-09;2.9300937511540277;2.9300628448249557;nan;nan;nan;nan;nan
10;1;17;0.04298232625777476;-1.751869601962497e-05;2.100903850887903e-08;0.042983589661917676;0.042964901552603296;0.042254439153950774;-1.6356350818036436e-05;1.8703285781240808e-08;0.04225534681292514;0.04223819246190158;0.040597768335706774;-1.5949930839032067e-05;1.8567501140764886e-08;0.04059883001787873;0.04058179481630231;nan;nan;nan;nan;nan
10;1;18;0.0008370566301121318;-4.864995642012149e-05;6.064133950843542e-06;0.0008379949156760991;0.0007883911565746415;0.0008261710661554567;-4.803262090091742e-05;5.98682570978476e-06;0.0008270994840127166;0.0007781330162396904;0.0008477029564263883;-4.941986917317287e-05;6.17752200027244e-06;0.0008486815386848368;0.0007982827150211369;nan;nan;nan;nan;nan
10;1;19;0.002841308668718595;-0.0005273146975335458;0.00019787379507366087;0.002842541193041531;0.002313994052938431;0.002841220878846848;-0.0005272809491330965;0.00019785708468880725;0.002842451798742221;0.002313942190878465;0.0028419214407785637;-0.0005272891522365986;0.00019785543653388915;0.0028431430451138356;0.0023146317221341556;nan;nan;nan;nan;nan
10;1;20;0.9247842244987186;-0.8766162310077243;1.6677272354269517;0.924796803668039;0.0482155578881826;0.9234613985560006;-0.8752421330991753;1.6647623325723029;0.9234689054455261;0.04821824178589923;0.9236773234241573;-0.8754496794011399;1.665165610886945;0.9236847147312361;0.048227609000381255;nan;nan;nan;nan;nan
10;1;21;1.7783697809026222e-05;-1.99783737137027e-06;2.59333653962468e-06;1.934158052485646e-05;1.6029658209293363e-05;1.5413844455580694e-05;-1.822387780597845e-06;2.4756860378394308e-06;1.6555350527941437e-05;1.3584250342424387e-05;1.5766806610834072e-05;-1.909241727882094e-06;2.518567327247645e-06;1.691725746222339e-05;1.3857570509284711e-05;nan;nan;nan;nan;nan
